Ticker,Name,Primary Bucket,Side,Crest,Crest Rationale
CEVA,CEVA Inc,X Edge AI/Vision,Supplier,Mid,"Mid-crest, Supplier: edge inference / machine vision; sells into the buildout."
CIEN,Ciena Corp,4 Networking,Supplier,Mid,"Mid-crest, Supplier: datacenter fabric/optics; sells into the buildout."
CIFR,Cipher Digital Inc,5 Power/Cooling,Demand,Late,"Late-crest, Demand: power, cooling, grid — built after chips are ordered; buys/rents the compute (neocloud)."
CSCO,Cisco Systems Inc,4 Networking,Supplier,Mid,"Mid-crest, Supplier: datacenter fabric/optics; sells into the buildout."
NET,Cloudflare Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
CGNX,Cognex Corp,X Edge AI/Vision,Supplier,Mid,"Mid-crest, Supplier: edge inference / machine vision; sells into the buildout."
COHR,Coherent Corp,4 Networking,Supplier,Early,"Early-crest, Supplier: datacenter fabric/optics; sells into the buildout."
COHU,Cohu Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
CEG,Constellation Energy Corp,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
CORZ,Core Scientific Inc Ordinary Shares - New,5 Power/Cooling,Demand,Late,"Late-crest, Demand: power, cooling, grid — built after chips are ordered; buys/rents the compute (neocloud)."
CRWV,CoreWeave Inc Ordinary Shares - Class A,7 Hyperscaler,Demand,Mid,"Mid-crest, Demand: platform counterparty — builds and buys compute; buys/rents the compute (neocloud)."
GLW,Corning Inc,4 Networking,Supplier,Mid,"Mid-crest, Supplier: datacenter fabric/optics; sells into the buildout."
CRDO,Credo Technology Group Holding Ltd,4 Networking,Supplier,Early,"Early-crest, Supplier: datacenter fabric/optics; sells into the buildout."
CRWD,CrowdStrike Holdings Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
QBTS,D-Wave Quantum Inc,Q Quantum,Supplier,Mid,"Mid-crest, Supplier: frontier compute, speculative; sells into the buildout."
DDOG,Datadog Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
DELL,Dell Technologies Inc Ordinary Shares - Class C,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
DLR,Digital Realty Trust Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
DOMO,Domo Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
DOV,Dover Corp,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
DUK,Duke Energy Corp,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
DUOL,Duolingo Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
DUOT,Duos Technologies Group Inc,Unclassified,Supplier,Mid,"Mid-crest, Supplier: unclassified; sells into the buildout."
DY,Dycom Industries Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
DT,Dynatrace Inc Ordinary Shares,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
ETN,Eaton Corp PLC,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
ECL,Ecolab Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
ESTC,Elastic NV,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
EMR,Emerson Electric Co,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
ENPH,Enphase Energy Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
ENTG,Entegris Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
EQIX,Equinix Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
FN,Fabrinet,4 Networking,Supplier,Early,"Early-crest, Supplier: datacenter fabric/optics; sells into the buildout."
FSLR,First Solar Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
FIVN,Five9 Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
FRSX,Foresight Autonomous Holdings Ltd ADR,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
FORM,FormFactor Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
FTNT,Fortinet Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
FUTU,Futu Holdings Ltd ADR,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
GDS,GDS Holdings Ltd ADR,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
GEV,GE Vernova Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
GD,General Dynamics Corp,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
GTLB,GitLab Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
GLBE,Global E Online Ltd,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
HSAI,Hesai Group ADR,X Edge AI/Vision,Supplier,Mid,"Mid-crest, Supplier: edge inference / machine vision; sells into the buildout."
HPE,Hewlett Packard Enterprise Co,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
HUBB,Hubbell Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
HUBS,HubSpot Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
HUT,Hut 8 Corp,5 Power/Cooling,Demand,Late,"Late-crest, Demand: power, cooling, grid — built after chips are ordered; buys/rents the compute (neocloud)."
ICHR,Ichor Holdings Ltd,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
INDI,Indie Semiconductor Inc Ordinary Shares - Class A,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
INFY,Infosys Ltd ADR,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
INOD,Innodata Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
INVZ,Innoviz Technologies Ltd,X Edge AI/Vision,Supplier,Mid,"Mid-crest, Supplier: edge inference / machine vision; sells into the buildout."
INTC,Intel Corp,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
IBM,International Business Machines Corp,7 Hyperscaler,Hyperscaler,Mid,"Mid-crest, Hyperscaler: platform counterparty — builds and buys compute; platform counterparty."
INTT,inTest Corp,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
INTU,Intuit Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
LUNR,Intuitive Machines Inc Ordinary Shares - Class A,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
ISRG,Intuitive Surgical Inc,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
IONQ,IonQ Inc Class A,Q Quantum,Supplier,Mid,"Mid-crest, Supplier: frontier compute, speculative; sells into the buildout."
IPGP,IPG Photonics Corp,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
IREN,IREN Ltd,5 Power/Cooling,Demand,Late,"Late-crest, Demand: power, cooling, grid — built after chips are ordered; buys/rents the compute (neocloud)."
IRM,Iron Mountain Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
JD,JD.com Inc ADR,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
JCI,Johnson Controls International PLC Registered Shares,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
KEYS,Keysight Technologies Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
KC,Kingsoft Cloud Holdings Ltd ADR,7 Hyperscaler,Hyperscaler,Mid,"Mid-crest, Hyperscaler: platform counterparty — builds and buys compute; platform counterparty."
KXIAY,Kioxia Holdings Corp ADR,2 Memory,Supplier,Early,"Early-crest, Supplier: HBM/DRAM/NAND — deep cyclical, ordered early; sells into the buildout."
KLAC,KLA Corp,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
KVYO,Klaviyo Inc Class A common stock,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
KTOS,Kratos Defense & Security Solutions Inc,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
KLIC,Kulicke & Soffa Industries Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
KULR,KULR Technology Group Inc,X Edge AI/Vision,Supplier,Mid,"Mid-crest, Supplier: edge inference / machine vision; sells into the buildout."
LHX,L3Harris Technologies Inc,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
LRCX,Lam Research Corp,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
LDOS,Leidos Holdings Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
LI,Li Auto Inc ADR,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
LMT,Lockheed Martin Corp,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
LITE,Lumentum Holdings Inc,4 Networking,Supplier,Early,"Early-crest, Supplier: datacenter fabric/optics; sells into the buildout."
MTSI,MACOM Technology Solutions Holdings Inc,4 Networking,Supplier,Mid,"Mid-crest, Supplier: datacenter fabric/optics; sells into the buildout."
MRVL,Marvell Technology Inc,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
META,Meta Platforms Inc Class A,7 Hyperscaler,Hyperscaler,Mid,"Mid-crest, Hyperscaler: platform counterparty — builds and buys compute; platform counterparty."
MU,Micron Technology Inc,2 Memory,Supplier,Early,"Early-crest, Supplier: HBM/DRAM/NAND — deep cyclical, ordered early; sells into the buildout."
MSFT,Microsoft Corp,7 Hyperscaler,Hyperscaler,Mid,"Mid-crest, Hyperscaler: platform counterparty — builds and buys compute; platform counterparty."
MVIS,Microvision Inc,X Edge AI/Vision,Supplier,Mid,"Mid-crest, Supplier: edge inference / machine vision; sells into the buildout."
MKSI,MKS Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
MBLY,Mobileye Global Inc Ordinary Shares - Class A,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
MNDY,Monday.Com Ltd Ordinary Shares,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
MDB,MongoDB Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
MPWR,Monolithic Power Systems Inc,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
NNE,Nano Nuclear Energy Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
NVTS,Navitas Semiconductor Corp Class A,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
NBIS,Nebius Group NV Shs Class-A-,7 Hyperscaler,Demand,Mid,"Mid-crest, Demand: platform counterparty — builds and buys compute; buys/rents the compute (neocloud)."
NTAP,NetApp Inc,2 Memory,Supplier,Early,"Early-crest, Supplier: HBM/DRAM/NAND — deep cyclical, ordered early; sells into the buildout."
NEE,NextEra Energy Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
NICE,NICE Ltd ADR,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
NIO,NIO Inc ADR,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
NOC,Northrop Grumman Corp,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
NVMI,Nova Ltd,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
NRG,NRG Energy Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
SMR,NuScale Power Corp Class A,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
NVT,nVent Electric PLC,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
NVDA,NVIDIA Corp,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
NXPI,NXP Semiconductors NV,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
OKLO,Oklo Inc Class A Shares,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
OKTA,Okta Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
ONDS,Ondas Inc,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
ONTO,Onto Innovation Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
ORCL,Oracle Corp,7 Hyperscaler,Hyperscaler,Mid,"Mid-crest, Hyperscaler: platform counterparty — builds and buys compute; platform counterparty."
OUST,Ouster Inc Ordinary Shares - Class A,X Edge AI/Vision,Supplier,Mid,"Mid-crest, Supplier: edge inference / machine vision; sells into the buildout."
PLTR,Palantir Technologies Inc Ordinary Shares - Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
PANW,Palo Alto Networks Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
PDD,PDD Holdings Inc ADR,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
PEGA,Pegasystems Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
PLAB,Photronics Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
POET,POET Technologies Inc,4 Networking,Supplier,Early,"Early-crest, Supplier: datacenter fabric/optics; sells into the buildout."
PONY,Pony AI Inc ADR,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
PLPC,Preformed Line Products Co,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
QCOM,Qualcomm Inc,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
PWR,Quanta Services Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
QUBT,Quantum Computing Inc,Q Quantum,Supplier,Mid,"Mid-crest, Supplier: frontier compute, speculative; sells into the buildout."
RMBS,Rambus Inc,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
RXRX,Recursion Pharmaceuticals Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
RDDT,Reddit Inc Class A Shares,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
RR,Richtech Robotics Inc Class B Common Stock,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
RGTI,Rigetti Computing Inc,Q Quantum,Supplier,Mid,"Mid-crest, Supplier: frontier compute, speculative; sells into the buildout."
RBLX,Roblox Corp Ordinary Shares - Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
ROK,Rockwell Automation Inc,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
RTX,RTX Corp,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
CRM,Salesforce Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
SSNLF,Samsung Electronics Co Ltd,2 Memory,Supplier,Early,"Early-crest, Supplier: HBM/DRAM/NAND — deep cyclical, ordered early; sells into the buildout."
SNDK,SanDisk Corp Ordinary Shares,2 Memory,Supplier,Early,"Early-crest, Supplier: HBM/DRAM/NAND — deep cyclical, ordered early; sells into the buildout."
STX,Seagate Technology Holdings PLC,2 Memory,Supplier,Early,"Early-crest, Supplier: HBM/DRAM/NAND — deep cyclical, ordered early; sells into the buildout."
S,SentinelOne Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
SERV,Serve Robotics Inc,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
NOW,ServiceNow Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
SHLS,Shoals Technologies Group Inc Ordinary Shares - Class A,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
SLAB,Silicon Laboratories Inc,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
HXSCL,SK Hynix Inc DR,2 Memory,Supplier,Early,"Early-crest, Supplier: HBM/DRAM/NAND — deep cyclical, ordered early; sells into the buildout."
SNOW,Snowflake Inc Ordinary Shares,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
SOLV,Solventum Corp,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
SONY,Sony Group Corp ADR,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
SOUN,SoundHound AI Inc Ordinary Shares - Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
SO,Southern Co,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
CXM,Sprinklr Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
